,dteday,registered,casual,weekday,mnth,cnt,holiday,workingday
0,2016-01-01,16,2,4,3,18,1,0
1,2016-01-02,16,1,5,3,17,0,0
2,2016-01-03,23,1,6,3,24,0,0
3,2016-01-04,76,1,0,3,77,0,1
4,2016-01-05,85,2,1,3,87,0,1
5,2016-01-06,105,1,2,3,106,0,1
6,2016-01-07,103,3,3,3,106,0,1
7,2016-01-08,66,5,4,3,71,0,1
8,2016-01-09,38,0,5,3,38,0,0
9,2016-01-10,19,0,6,3,19,0,0
10,2016-01-11,46,0,0,3,46,0,1
11,2016-01-12,37,0,1,3,37,0,1
12,2016-01-13,47,0,2,3,47,0,1
13,2016-01-14,105,1,3,3,106,0,1
14,2016-01-15,90,4,4,3,94,0,1
15,2016-01-16,40,4,5,3,44,0,0
16,2016-01-17,15,0,6,3,15,0,0
17,2016-01-18,37,0,0,3,37,1,0
18,2016-01-19,58,0,1,3,58,0,1
19,2016-01-20,50,0,2,3,50,0,1
20,2016-01-21,72,1,3,3,73,0,1
21,2016-01-22,91,1,4,3,92,0,1
22,2016-01-23,42,1,5,3,43,0,0
23,2016-01-24,37,0,6,3,37,0,0
24,2016-01-25,71,9,0,3,80,0,1
25,2016-01-26,94,2,1,3,96,0,1
26,2016-01-27,69,1,2,3,70,0,1
27,2016-01-28,98,0,3,3,98,0,1
28,2016-01-29,88,4,4,3,92,0,1
29,2016-01-30,66,13,5,3,79,0,0
30,2016-01-31,39,5,6,3,44,0,0
31,2016-02-01,109,11,0,3,120,0,1
32,2016-02-02,61,0,1,3,61,0,1
33,2016-02-03,77,2,2,3,79,0,1
34,2016-02-04,97,1,3,3,98,0,1
35,2016-02-05,83,4,4,3,87,0,1
36,2016-02-06,60,14,5,3,74,0,0
37,2016-02-07,57,6,6,3,63,0,0
38,2016-02-08,75,1,0,3,76,0,1
39,2016-02-09,65,1,1,3,66,0,1
40,2016-02-10,51,1,2,3,52,0,1
41,2016-02-11,65,1,3,3,66,0,1
42,2016-02-12,64,3,4,3,67,0,1
43,2016-02-13,27,0,5,3,27,0,0
44,2016-02-14,14,0,6,3,14,0,0
45,2016-02-15,43,3,0,3,46,0,1
46,2016-02-16,72,2,1,3,74,0,1
47,2016-02-17,94,1,2,3,95,0,1
48,2016-02-18,102,4,3,3,106,0,1
49,2016-02-19,107,4,4,3,111,0,1
50,2016-02-20,100,68,5,3,168,0,0
51,2016-02-21,49,7,6,3,56,0,0
52,2016-02-22,96,3,0,3,99,0,1
53,2016-02-23,98,1,1,3,99,0,1
54,2016-02-24,53,0,2,3,53,0,1
55,2016-02-25,99,1,3,3,100,0,1
56,2016-02-26,91,3,4,3,94,0,1
57,2016-02-27,74,33,5,3,107,0,0
58,2016-02-28,78,46,6,3,124,0,0
59,2016-02-29,105,7,0,3,112,0,1
60,2016-03-01,64,0,1,3,64,0,1
61,2016-03-02,77,4,2,3,81,0,1
62,2016-03-03,66,2,3,3,68,0,1
63,2016-03-04,85,1,4,3,86,0,1
64,2016-03-05,45,8,5,3,53,0,0
65,2016-03-06,63,17,6,3,80,0,0
66,2016-03-07,142,18,0,3,160,0,1
67,2016-03-08,165,41,1,3,206,0,1
68,2016-03-09,162,23,2,3,185,0,1
69,2016-03-10,139,10,3,3,149,0,1
70,2016-03-11,138,19,4,3,157,0,1
71,2016-03-12,88,39,5,3,127,0,0
72,2016-03-13,24,7,6,3,31,0,0
73,2016-03-14,122,24,0,3,146,0,1
74,2016-03-15,148,13,1,3,161,0,1
75,2016-03-16,110,14,2,3,124,0,1
76,2016-03-17,128,27,3,3,155,0,1
77,2016-03-18,124,15,4,3,139,0,1
