,dteday,registered,casual,weekday,mnth,cnt,holiday,workingday
0,2016-01-01,41,18,4,3,59,1,0
1,2016-01-02,77,32,5,3,109,0,0
2,2016-01-03,73,23,6,3,96,0,0
3,2016-01-04,101,6,0,3,107,0,1
4,2016-01-05,83,4,1,3,87,0,1
5,2016-01-06,109,2,2,3,111,0,1
6,2016-01-07,123,3,3,3,126,0,1
7,2016-01-08,107,8,4,3,115,0,1
8,2016-01-09,91,14,5,3,105,0,0
9,2016-01-10,89,13,6,3,102,0,0
10,2016-01-11,111,6,0,3,117,0,1
11,2016-01-12,125,5,1,3,130,0,1
12,2016-01-13,114,6,2,3,120,0,1
13,2016-01-14,148,7,3,3,155,0,1
14,2016-01-15,124,17,4,3,141,0,1
15,2016-01-16,84,27,5,3,111,0,0
16,2016-01-17,43,13,6,3,56,0,0
17,2016-01-18,48,4,0,3,52,1,0
18,2016-01-19,78,0,1,3,78,0,1
19,2016-01-20,78,1,2,3,79,0,1
20,2016-01-21,96,3,3,3,99,0,1
21,2016-01-22,54,0,4,3,54,0,1
22,2016-01-27,11,0,2,3,11,0,1
23,2016-01-28,41,0,3,3,41,0,1
24,2016-01-29,49,0,4,3,49,0,1
25,2016-01-30,55,4,5,3,59,0,0
26,2016-01-31,59,6,6,3,65,0,0
27,2016-02-01,77,1,0,3,78,0,1
28,2016-02-02,108,2,1,3,110,0,1
29,2016-02-03,77,1,2,3,78,0,1
30,2016-02-04,134,7,3,3,141,0,1
31,2016-02-05,124,7,4,3,131,0,1
32,2016-02-06,85,15,5,3,100,0,0
33,2016-02-07,82,10,6,3,92,0,0
34,2016-02-08,118,7,0,3,125,0,1
35,2016-02-09,87,1,1,3,88,0,1
36,2016-02-10,89,3,2,3,92,0,1
37,2016-02-11,88,2,3,3,90,0,1
38,2016-02-12,77,7,4,3,84,0,1
39,2016-02-13,27,1,5,3,28,0,0
40,2016-02-14,32,12,6,3,44,0,0
41,2016-02-15,6,1,0,3,7,0,1
42,2016-02-16,65,2,1,3,67,0,1
43,2016-02-17,108,5,2,3,113,0,1
44,2016-02-18,101,5,3,3,106,0,1
45,2016-02-19,113,9,4,3,122,0,1
46,2016-02-20,98,57,5,3,155,0,0
47,2016-02-21,75,16,6,3,91,0,0
48,2016-02-22,124,9,0,3,133,0,1
49,2016-02-23,49,0,1,3,49,0,1
50,2016-02-24,57,2,2,3,59,0,1
51,2016-02-25,125,1,3,3,126,0,1
52,2016-02-26,94,5,4,3,99,0,1
53,2016-02-27,100,22,5,3,122,0,0
54,2016-02-28,106,57,6,3,163,0,0
55,2016-02-29,145,16,0,3,161,0,1
56,2016-03-01,156,13,1,3,169,0,1
57,2016-03-02,96,5,2,3,101,0,1
58,2016-03-03,118,6,3,3,124,0,1
59,2016-03-04,100,3,4,3,103,0,1
60,2016-03-05,85,19,5,3,104,0,0
61,2016-03-06,76,33,6,3,109,0,0
62,2016-03-07,144,28,0,3,172,0,1
63,2016-03-08,179,28,1,3,207,0,1
64,2016-03-09,185,41,2,3,226,0,1
65,2016-03-10,171,27,3,3,198,0,1
66,2016-03-11,164,51,4,3,215,0,1
67,2016-03-12,136,83,5,3,219,0,0
68,2016-03-13,78,32,6,3,110,0,0
69,2016-03-14,143,15,0,3,158,0,1
70,2016-03-15,136,22,1,3,158,0,1
71,2016-03-16,179,85,2,3,264,0,1
72,2016-03-17,179,44,3,3,223,0,1
73,2016-03-18,160,47,4,3,207,0,1
74,2016-03-19,52,10,5,3,62,0,0
75,2016-03-20,73,13,6,3,86,0,0
76,2016-03-21,157,15,0,3,172,0,1
77,2016-03-22,149,23,1,3,172,0,1
78,2016-03-23,184,55,2,3,239,0,1
79,2016-03-24,190,71,3,3,261,0,1
80,2016-03-25,159,71,4,3,230,0,1
81,2016-03-26,155,129,5,3,284,0,0
82,2016-03-27,91,71,6,3,162,0,0
83,2016-03-28,135,27,0,3,162,0,1
84,2016-03-29,177,35,1,3,212,0,1
85,2016-03-30,197,41,2,3,238,0,1
86,2016-03-31,179,45,3,3,224,0,1
87,2016-04-01,173,50,4,3,223,0,1
88,2016-04-02,108,71,5,3,179,0,0
89,2016-04-03,94,20,6,3,114,0,0
90,2016-04-04,128,16,0,3,144,0,1
91,2016-04-05,137,12,1,3,149,0,1
92,2016-04-06,155,18,2,3,173,0,1
93,2016-04-07,90,11,3,3,101,0,1
94,2016-04-08,155,32,4,3,187,0,1
95,2016-04-09,63,18,5,3,81,0,0
96,2016-04-10,94,56,6,3,150,0,0
97,2016-04-11,165,28,0,3,193,0,1
98,2016-04-12,173,14,1,3,187,0,1
99,2016-04-13,163,19,2,3,182,0,1
100,2016-04-14,172,15,3,3,187,0,1
101,2016-04-15,181,42,4,3,223,0,1
102,2016-04-16,138,107,5,3,245,0,0
103,2016-04-17,126,104,6,3,230,0,0
104,2016-04-18,166,48,0,3,214,0,1
105,2016-04-19,184,42,1,3,226,0,1
106,2016-04-20,212,32,2,3,244,0,1
107,2016-04-21,214,38,3,3,252,0,1
108,2016-04-22,160,44,4,3,204,0,1
109,2016-04-23,116,52,5,3,168,0,0
110,2016-04-24,160,81,6,3,241,0,0
111,2016-04-25,178,58,0,3,236,0,1
112,2016-04-26,189,40,1,3,229,0,1
113,2016-04-27,149,15,2,3,164,0,1
114,2016-04-28,101,11,3,3,112,0,1
