,dteday,registered,casual,weekday,mnth,cnt,holiday,workingday
0,2016-01-01,161,44,4,1,205,1,0
1,2016-01-02,254,53,5,1,307,0,0
2,2016-01-03,275,45,6,1,320,0,0
3,2016-01-04,402,22,0,1,424,0,1
4,2016-01-05,345,5,1,1,350,0,1
5,2016-01-06,485,18,2,1,503,0,1
6,2016-01-07,509,18,3,1,527,0,1
7,2016-01-08,539,21,4,1,560,0,1
8,2016-01-09,361,29,5,1,390,0,0
9,2016-01-10,279,15,6,1,294,0,0
10,2016-01-11,442,15,0,1,457,0,1
11,2016-01-12,491,12,1,1,503,0,1
12,2016-01-13,412,9,2,1,421,0,1
13,2016-01-14,462,10,3,1,472,0,1
14,2016-01-15,591,20,4,1,611,0,1
15,2016-01-16,342,41,5,1,383,0,0
16,2016-01-17,219,22,6,1,241,0,0
17,2016-01-18,238,11,0,1,249,1,0
18,2016-01-19,357,6,1,1,363,0,1
19,2016-01-20,455,4,2,1,459,0,1
20,2016-01-21,455,7,3,1,462,0,1
21,2016-01-22,402,7,4,1,409,0,1
22,2016-01-27,129,2,2,1,131,0,1
23,2016-01-28,236,3,3,1,239,0,1
24,2016-01-29,338,8,4,1,346,0,1
25,2016-01-30,214,18,5,1,232,0,0
26,2016-01-31,299,23,6,1,322,0,0
27,2016-02-01,495,10,0,1,505,0,1
28,2016-02-02,554,15,1,1,569,0,1
29,2016-02-03,279,3,2,1,282,0,1
30,2016-02-04,534,13,3,1,547,0,1
31,2016-02-05,247,3,4,1,250,0,1
32,2016-02-06,330,27,5,1,357,0,0
33,2016-02-07,308,31,6,1,339,0,0
34,2016-02-08,347,4,0,1,351,0,1
35,2016-02-09,460,11,1,1,471,0,1
36,2016-02-10,442,5,2,1,447,0,1
37,2016-02-11,368,3,3,1,371,0,1
38,2016-02-12,316,7,4,1,323,0,1
39,2016-02-13,139,4,5,1,143,0,0
40,2016-02-14,87,4,6,1,91,0,0
41,2016-02-15,115,2,0,1,117,0,1
42,2016-02-16,279,5,1,1,284,0,1
43,2016-02-17,479,9,2,1,488,0,1
44,2016-02-18,422,15,3,1,437,0,1
45,2016-02-19,404,12,4,1,416,0,1
46,2016-02-20,451,87,5,1,538,0,0
47,2016-02-21,320,56,6,1,376,0,0
48,2016-02-22,546,31,0,1,577,0,1
49,2016-02-23,346,10,1,1,356,0,1
50,2016-02-24,178,2,2,1,180,0,1
51,2016-02-25,480,10,3,1,490,0,1
52,2016-02-26,449,21,4,1,470,0,1
53,2016-02-27,320,40,5,1,360,0,0
54,2016-02-28,370,107,6,1,477,0,0
55,2016-02-29,536,22,0,1,558,0,1
56,2016-03-01,544,31,1,1,575,0,1
57,2016-03-02,534,16,2,1,550,0,1
58,2016-03-03,497,22,3,1,519,0,1
59,2016-03-04,351,9,4,1,360,0,1
60,2016-03-05,312,41,5,1,353,0,0
61,2016-03-06,317,41,6,1,358,0,0
62,2016-03-07,619,40,0,1,659,0,1
63,2016-03-08,671,39,1,1,710,0,1
64,2016-03-09,768,65,2,1,833,0,1
65,2016-03-10,772,65,3,1,837,0,1
66,2016-03-11,713,71,4,1,784,0,1
67,2016-03-12,507,178,5,1,685,0,0
68,2016-03-13,413,125,6,1,538,0,0
69,2016-03-14,190,11,0,1,201,0,1
70,2016-03-15,604,53,1,1,657,0,1
71,2016-03-16,644,63,2,1,707,0,1
72,2016-03-17,636,49,3,1,685,0,1
73,2016-03-18,648,56,4,1,704,0,1
74,2016-03-19,379,75,5,1,454,0,0
75,2016-03-20,317,38,6,1,355,0,0
76,2016-03-21,462,31,0,1,493,0,1
77,2016-03-22,605,50,1,1,655,0,1
78,2016-03-23,761,77,2,1,838,0,1
79,2016-03-24,674,61,3,1,735,0,1
80,2016-03-25,577,95,4,1,672,0,1
81,2016-03-26,397,146,5,1,543,0,0
82,2016-03-27,329,141,6,1,470,0,0
83,2016-03-28,385,20,0,1,405,0,1
84,2016-03-29,592,34,1,1,626,0,1
85,2016-03-30,633,60,2,1,693,0,1
86,2016-03-31,684,75,3,1,759,0,1
87,2016-04-01,649,79,4,1,728,0,1
88,2016-04-02,336,57,5,1,393,0,0
89,2016-04-03,269,28,6,1,297,0,0
90,2016-04-04,251,6,0,1,257,0,1
91,2016-04-05,472,20,1,1,492,0,1
92,2016-04-06,567,31,2,1,598,0,1
93,2016-04-07,590,25,3,1,615,0,1
94,2016-04-08,545,35,4,1,580,0,1
95,2016-04-09,238,20,5,1,258,0,0
96,2016-04-10,383,85,6,1,468,0,0
97,2016-04-11,591,47,0,1,638,0,1
98,2016-04-12,456,21,1,1,477,0,1
99,2016-04-13,708,49,2,1,757,0,1
100,2016-04-14,670,58,3,1,728,0,1
101,2016-04-15,694,74,4,1,768,0,1
102,2016-04-16,513,200,5,1,713,0,0
103,2016-04-17,574,227,6,1,801,0,0
104,2016-04-18,803,103,0,1,906,0,1
105,2016-04-19,839,72,1,1,911,0,1
106,2016-04-20,835,80,2,1,915,0,1
107,2016-04-21,796,105,3,1,901,0,1
108,2016-04-22,796,201,4,1,997,0,1
109,2016-04-23,448,181,5,1,629,0,0
110,2016-04-24,504,215,6,1,719,0,0
111,2016-04-25,764,99,0,1,863,0,1
112,2016-04-26,672,53,1,1,725,0,1
113,2016-04-27,722,102,2,1,824,0,1
114,2016-04-28,697,67,3,1,764,0,1
115,2016-04-29,613,61,4,1,674,0,1
116,2016-04-30,533,231,5,1,764,0,0
117,2016-05-01,205,20,6,1,225,0,0
118,2016-05-02,744,78,0,1,822,0,1
119,2016-05-03,410,24,1,1,434,0,1
120,2016-05-04,618,43,2,1,661,0,1
121,2016-05-05,747,60,3,1,807,0,1
122,2016-05-06,336,21,4,1,357,0,1
123,2016-05-07,471,149,5,1,620,0,0
124,2016-05-08,496,136,6,1,632,0,0
125,2016-05-09,849,100,0,1,949,0,1
126,2016-05-10,779,63,1,1,842,0,1
127,2016-05-11,904,105,2,1,1009,0,1
128,2016-05-12,972,143,3,1,1115,0,1
129,2016-05-13,612,50,4,1,662,0,1
130,2016-05-14,590,241,5,1,831,0,0
131,2016-05-15,467,130,6,1,597,0,0
132,2016-05-16,797,114,0,1,911,0,1
133,2016-05-17,789,86,1,1,875,0,1
134,2016-05-18,822,76,2,1,898,0,1
135,2016-05-19,908,102,3,1,1010,0,1
136,2016-05-20,936,138,4,1,1074,0,1
137,2016-05-21,532,113,5,1,645,0,0
138,2016-05-22,619,172,6,1,791,0,0
139,2016-05-23,873,91,0,1,964,0,1
140,2016-05-24,645,42,1,1,687,0,1
141,2016-05-25,988,90,2,1,1078,0,1
142,2016-05-26,934,75,3,1,1009,0,1
143,2016-05-27,840,93,4,1,933,0,1
144,2016-05-28,522,184,5,1,706,0,0
145,2016-05-29,491,262,6,1,753,0,0
146,2016-05-30,463,138,0,1,601,1,0
147,2016-05-31,887,70,1,1,957,0,1
148,2016-06-01,1068,91,2,1,1159,0,1
149,2016-06-02,1072,90,3,1,1162,0,1
150,2016-06-03,766,54,4,1,820,0,1
151,2016-06-04,620,188,5,1,808,0,0
152,2016-06-05,427,65,6,1,492,0,0
153,2016-06-06,919,84,0,1,1003,0,1
154,2016-06-07,932,61,1,1,993,0,1
155,2016-06-08,787,26,2,1,813,0,1
156,2016-06-09,977,79,3,1,1056,0,1
157,2016-06-10,918,99,4,1,1017,0,1
158,2016-06-11,580,172,5,1,752,0,0
159,2016-06-12,629,169,6,1,798,0,0
160,2016-06-13,974,77,0,1,1051,0,1
161,2016-06-14,1077,67,1,1,1144,0,1
162,2016-06-15,1046,74,2,1,1120,0,1
163,2016-06-16,861,52,3,1,913,0,1
164,2016-06-17,949,106,4,1,1055,0,1
165,2016-06-18,693,286,5,1,979,0,0
166,2016-06-19,643,259,6,1,902,0,0
167,2016-06-20,965,71,0,1,1036,0,1
168,2016-06-21,993,62,1,1,1055,0,1
169,2016-06-22,1004,78,2,1,1082,0,1
170,2016-06-23,975,64,3,1,1039,0,1
171,2016-06-24,1031,99,4,1,1130,0,1
172,2016-06-25,689,175,5,1,864,0,0
173,2016-06-26,664,194,6,1,858,0,0
174,2016-06-27,850,77,0,1,927,0,1
175,2016-06-28,943,57,1,1,1000,0,1
176,2016-06-29,1022,76,2,1,1098,0,1
177,2016-06-30,1032,84,3,1,1116,0,1
178,2016-07-01,690,73,4,1,763,0,1
179,2016-07-02,468,240,5,1,708,0,0
180,2016-07-03,432,281,6,1,713,0,0
181,2016-07-04,458,231,0,1,689,1,0
182,2016-07-05,772,83,1,1,855,0,1
183,2016-07-06,894,88,2,1,982,0,1
184,2016-07-07,905,68,3,1,973,0,1
185,2016-07-08,805,83,4,1,888,0,1
186,2016-07-09,589,164,5,1,753,0,0
